,crc,take_type,allo_block,wap,max_rate_wap,in_sw_allo,sd1_150,sd1_30,sd1_7,rate_ratio,ExtSiteID
485,CRC950584,Take Groundwater,A,K36/0136,38.0,True,100.0,100.0,99.0,1.0,168846
486,CRC950885,Take Surface Water,A,K36/0857,800.0,True,100.0,100.0,100.0,0.38095238095238093,68801
487,CRC950885,Take Surface Water,A,K36/0857,800.0,True,100.0,100.0,100.0,0.38095238095238093,168833
488,CRC950885,Take Surface Water,A,K36/0857,800.0,True,100.0,100.0,100.0,0.38095238095238093,168821
489,CRC950930.2,Take Surface Water,A,K36/0857,800.0,True,100.0,100.0,100.0,0.5,68801
490,CRC950930.2,Take Surface Water,A,K36/0857,800.0,True,100.0,100.0,100.0,0.5,168833
491,CRC950930.2,Take Surface Water,A,K36/0857,800.0,True,100.0,100.0,100.0,0.5,168821
492,CRC950931.1,Take Surface Water,A,K36/0857,500.0,True,100.0,100.0,100.0,0.3333333333333333,68801
493,CRC950931.1,Take Surface Water,A,K36/0857,500.0,True,100.0,100.0,100.0,0.3333333333333333,168833
494,CRC950931.1,Take Surface Water,A,K36/0857,500.0,True,100.0,100.0,100.0,0.3333333333333333,168821
495,CRC972504.1,Take Surface Water,A,K36/0857,800.0,True,100.0,100.0,100.0,0.5,68801
496,CRC972504.1,Take Surface Water,A,K36/0857,800.0,True,100.0,100.0,100.0,0.5,168833
497,CRC972504.1,Take Surface Water,A,K36/0857,800.0,True,100.0,100.0,100.0,0.5,168821
498,CRC950885,Take Surface Water,A,K36/0858,500.0,True,100.0,100.0,100.0,0.23809523809523808,68801
499,CRC950885,Take Surface Water,A,K36/0858,500.0,True,100.0,100.0,100.0,0.23809523809523808,168833
500,CRC950885,Take Surface Water,A,K36/0858,500.0,True,100.0,100.0,100.0,0.23809523809523808,168821
501,CRC950931.1,Take Surface Water,A,K36/0858,500.0,True,100.0,100.0,100.0,0.3333333333333333,68801
502,CRC950931.1,Take Surface Water,A,K36/0858,500.0,True,100.0,100.0,100.0,0.3333333333333333,168833
503,CRC950931.1,Take Surface Water,A,K36/0858,500.0,True,100.0,100.0,100.0,0.3333333333333333,168821
504,CRC950885,Take Surface Water,A,K36/0859,800.0,True,100.0,100.0,100.0,0.38095238095238093,68801
505,CRC950885,Take Surface Water,A,K36/0859,800.0,True,100.0,100.0,100.0,0.38095238095238093,168833
506,CRC950885,Take Surface Water,A,K36/0859,800.0,True,100.0,100.0,100.0,0.38095238095238093,168821
507,CRC950930.2,Take Surface Water,A,K36/0859,800.0,True,100.0,100.0,100.0,0.5,68801
