,crc,take_type,allo_block,wap,max_rate_wap,in_sw_allo,sd1_150,sd1_30,sd1_7,rate_ratio,ExtSiteID
291,CRC156648,Take Groundwater,A,K37/0661,91.0,True,0.0,0.0,0.0,0.5,1688218
292,CRC156648,Take Groundwater,A,K37/0661,91.0,True,0.0,0.0,0.0,0.5,168840
293,CRC156648,Take Groundwater,A,K37/0961,91.0,True,0.0,0.0,0.0,0.5,1688218
294,CRC157702,Take Groundwater,A,K36/0620,70.0,True,0.0,0.0,0.0,1.0,68801
295,CRC157702,Take Groundwater,A,K36/0620,70.0,True,0.0,0.0,0.0,1.0,168833
296,CRC157761,Take Groundwater,A,K36/0792,65.0,True,75.0,48.0,15.0,0.43333333333333335,68801
297,CRC157761,Take Groundwater,A,K36/0792,65.0,True,75.0,48.0,15.0,0.43333333333333335,168833
298,CRC157761,Take Groundwater,A,K36/0793,30.0,True,0.0,0.0,0.0,0.2,68801
299,CRC157761,Take Groundwater,A,K36/0793,30.0,True,0.0,0.0,0.0,0.2,168833
300,CRC157761,Take Groundwater,A,K36/1085,55.0,True,0.0,0.0,0.0,0.36666666666666664,68801
301,CRC157761,Take Groundwater,A,K36/1085,55.0,True,0.0,0.0,0.0,0.36666666666666664,168833
302,CRC158152,Take Groundwater,A,BY20/0103,120.0,True,0.0,0.0,0.0,0.4528301886792453,168834
303,CRC158152,Take Groundwater,A,BY20/0103,120.0,True,0.0,0.0,0.0,0.4528301886792453,68801
304,CRC158152,Take Groundwater,A,BY20/0103,120.0,True,0.0,0.0,0.0,0.4528301886792453,168837
305,CRC158152,Take Groundwater,A,K36/0102,30.0,False,93.0,85.0,69.0,0.11320754716981132,168834
306,CRC158152,Take Groundwater,A,K36/0102,30.0,False,93.0,85.0,69.0,0.11320754716981132,68801
307,CRC158152,Take Groundwater,A,K36/0102,30.0,False,93.0,85.0,69.0,0.11320754716981132,168837
308,CRC158152,Take Groundwater,A,K36/0103,30.0,False,99.0,99.0,97.0,0.11320754716981132,168834
309,CRC158152,Take Groundwater,A,K36/0103,30.0,False,99.0,99.0,97.0,0.11320754716981132,68801
310,CRC158152,Take Groundwater,A,K36/0103,30.0,False,99.0,99.0,97.0,0.11320754716981132,168837
311,CRC158152,Take Groundwater,A,K36/0974,40.0,True,0.0,0.0,0.0,0.1509433962264151,168834
312,CRC158152,Take Groundwater,A,K36/0974,40.0,True,0.0,0.0,0.0,0.1509433962264151,68801
313,CRC158152,Take Groundwater,A,K36/0974,40.0,True,0.0,0.0,0.0,0.1509433962264151,168837
314,CRC158152,Take Groundwater,A,K36/0975,45.0,False,0.0,0.0,0.0,0.16981132075471697,168834
315,CRC158152,Take Groundwater,A,K36/0975,45.0,False,0.0,0.0,0.0,0.16981132075471697,68801
316,CRC158152,Take Groundwater,A,K36/0975,45.0,False,0.0,0.0,0.0,0.16981132075471697,168837
317,CRC158152,Take Surface Water,A,K36/0921,30.0,True,100.0,100.0,100.0,1.0,168834
318,CRC158152,Take Surface Water,A,K36/0921,30.0,True,100.0,100.0,100.0,1.0,68801
319,CRC158152,Take Surface Water,A,K36/0921,30.0,True,100.0,100.0,100.0,1.0,168837
320,CRC951530,Take Surface Water,A,K36/0921,30.0,True,100.0,100.0,100.0,1.0,168834
321,CRC951530,Take Surface Water,A,K36/0921,30.0,True,100.0,100.0,100.0,1.0,68801
322,CRC951530,Take Surface Water,A,K36/0921,30.0,True,100.0,100.0,100.0,1.0,168837
323,CRC160032,Take Groundwater,A,K36/0600,15.0,True,0.0,0.0,0.0,0.14285714285714285,168834
324,CRC160032,Take Groundwater,A,K36/0600,15.0,True,0.0,0.0,0.0,0.14285714285714285,68801
325,CRC160032,Take Groundwater,A,K36/0600,15.0,True,0.0,0.0,0.0,0.14285714285714285,168837
326,CRC160032,Take Groundwater,A,K36/0839,45.0,True,60.0,24.0,1.0,0.42857142857142855,168834
327,CRC160032,Take Groundwater,A,K36/0839,45.0,True,60.0,24.0,1.0,0.42857142857142855,68801
328,CRC160032,Take Groundwater,A,K36/0839,45.0,True,60.0,24.0,1.0,0.42857142857142855,168837
329,CRC160032,Take Groundwater,A,K36/0840,45.0,True,51.0,14.0,0.0,0.42857142857142855,168834
330,CRC160032,Take Groundwater,A,K36/0840,45.0,True,51.0,14.0,0.0,0.42857142857142855,68801
331,CRC160032,Take Groundwater,A,K36/0840,45.0,True,51.0,14.0,0.0,0.42857142857142855,168837
332,CRC161094,Take Groundwater,A,K37/2238,10.0,True,0.0,0.0,0.0,1.0,68801
333,CRC161095,Take Groundwater,A,K37/2239,5.5,True,81.0,58.0,26.0,1.0,68801
334,CRC161447,Take Groundwater,A,K36/0783,20.0,True,0.0,0.0,0.0,0.4444444444444444,68801
335,CRC161447,Take Groundwater,A,K36/0783,20.0,True,0.0,0.0,0.0,0.4444444444444444,168833
336,CRC161447,Take Groundwater,A,K36/1063,25.0,True,0.0,0.0,0.0,0.5555555555555556,68801
337,CRC161447,Take Groundwater,A,K36/1063,25.0,True,0.0,0.0,0.0,0.5555555555555556,168833
338,CRC162931,Take Groundwater,A,BY20/0118,55.0,True,0.0,0.0,0.0,0.4954954954954955,68801
339,CRC162931,Take Groundwater,A,BY20/0118,55.0,True,0.0,0.0,0.0,0.4954954954954955,168833
340,CRC162931,Take Groundwater,A,K36/0936,56.0,True,0.0,0.0,0.0,0.5045045045045045,68801
341,CRC162931,Take Groundwater,A,K36/0936,56.0,True,0.0,0.0,0.0,0.5045045045045045,168833
342,CRC164232,Take Groundwater,A,K36/0320,5.0,True,39.0,6.0,0.0,0.047619047619047616,68801
343,CRC164232,Take Groundwater,A,K36/0320,5.0,True,39.0,6.0,0.0,0.047619047619047616,168833
344,CRC164232,Take Groundwater,A,K36/0804,100.0,True,28.0,2.0,0.0,0.9523809523809523,68801
345,CRC164232,Take Groundwater,A,K36/0804,100.0,True,28.0,2.0,0.0,0.9523809523809523,168833
346,CRC165409,Take Groundwater,A,K36/0581,65.0,True,0.0,0.0,0.0,0.9285714285714286,68801
347,CRC165409,Take Groundwater,A,K36/0581,65.0,True,0.0,0.0,0.0,0.9285714285714286,168833
348,CRC165409,Take Groundwater,A,K36/1067,5.0,True,77.0,51.0,18.0,0.07142857142857142,68801
