100,140,143
62107,62103,63501
63001,62105,64610
63101,65104,66405
63201,66429,67602
64304,66450,
64305,68001,
64602,68526,
64603,71103,
64605,71116,
64606,71122,
64609,71129,
64622,71135,
64630,,
64634,,
64902,,
65101,,
65102,,
65106,,
65108,,
65109,,
65112,,
65701,,
65901,,
65904,,
65905,,
65909,,
66201,,
66204,,
66213,,
66401,,
66403,,
66407,,
66409,,
66415,,
66417,,
66425,,
66435,,
66442,,
66472,,
66602,,
66604,,
66612,,
67001,,
67402,,
67408,,
67702,,
67805,,
67901,,
68002,,
68005,,
68006,,
68320,,
68322,,
68401,,
68544,,
68801,,
68806,,
68810,,
68819,,
68822,,
68827,,
68828,,
68829,,
69001,,
69002,,
69003,,
69004,,
69101,,
69102,,
69201,,
69202,,
69203,,
69302,,
69505,,
69508,,
69514,,
69516,,
69519,,
69520,,
69602,,
69607,,
69614,,
69615,,
69616,,
69618,,
69619,,
69621,,
69633,,
69634,,
69635,,
69642,,
69643,,
69644,,
69645,,
69650,,
69661,,
69685,,
69686,,
70103,,
70105,,
70301,,
70301,,
70303,,
70701,,
70703,,
70802,,
70803,,
70902,,
70903,,
70904,,
70908,,
70913,,
71104,,
71106,,
71109,,
71117,,
71118,,
71130,,
71131,,
71136,,
71155,,
71156,,
71162,,
71178,,
71188,,
71189,,
71194,,
71195,,
165121,,
165122,,
165123,,
166405,,
169012,,
1071103,,
1071104,,
1071105,,
1071110,,
1071111,,
1688218,,
1690067,,
3379428,,
3436871,,
3446051,,
3446071,,
3452533,,
3496686,,
696501,,
